0.0	0.0	0.143	2.626	2.725	5.426	
1.0	0.0	0.143	2.663	2.924	5.246	
2.0	0.0	0.137	2.514	2.949	5.357	
3.0	0.0	0.137	2.626	2.527	5.519	
4.0	0.0	0.149	2.8	2.837	5.072	
5.0	0.0	0.143	2.75	2.949	5.246	
6.0	0.0	0.149	2.508	2.986	5.208	
7.0	0.0	0.143	2.75	3.178	5.506	
8.0	0.0	0.13	2.974	3.067	5.258	
9.0	0.0	0.149	2.725	2.967	5.295	
10.0	0.0	0.137	2.762	2.862	5.376	
11.0	0.0	0.143	2.626	3.06	5.407	
12.0	0.0	0.137	2.62	2.794	5.469	
13.0	0.0	0.143	2.657	3.147	5.333	
14.0	0.0	0.143	2.812	2.961	5.308	
15.0	0.0	0.143	2.843	3.135	5.289	
16.0	0.0	0.137	2.576	2.93	5.258	
17.0	0.0	0.137	2.595	2.806	5.153	
18.0	0.0	0.143	2.527	2.943	5.345	
19.0	0.0	0.143	2.7	2.849	5.395	
20.0	0.0	0.143	2.744	2.818	5.469	
21.0	0.0	0.137	2.545	3.197	5.612	
22.0	0.0	0.149	2.551	2.806	5.618	
23.0	0.0	0.143	2.694	2.781	5.606	
24.0	0.0	0.143	2.756	2.918	5.426	
25.0	0.0	0.143	2.582	3.06	5.5	
26.0	0.0	0.143	2.7	3.023	5.264	
27.0	0.0	0.143	2.794	2.756	5.599	
28.0	0.0	0.137	2.427	2.731	5.252	
29.0	0.0	0.149	2.663	3.11	5.531	
30.0	0.0	0.149	2.831	2.825	5.388	
31.0	0.0	0.143	2.551	2.98	5.624	
32.0	0.0	0.143	2.483	2.967	5.463	
33.0	0.0	0.137	2.508	2.98	5.326	
34.0	0.0	0.143	2.663	2.887	5.444	
35.0	0.0	0.143	2.663	2.899	5.556	
36.0	0.0	0.143	2.731	2.924	5.388	
37.0	0.0	0.143	2.825	2.62	5.221	
38.0	0.0	0.137	2.589	2.98	5.345	
39.0	0.0	0.143	3.017	2.818	5.513	
40.0	0.0	0.137	2.52	2.837	5.401	
41.0	0.0	0.137	2.818	2.986	5.73	
42.0	0.0	0.143	2.75	3.005	5.301	
43.0	0.0	0.143	2.471	2.62	5.258	
44.0	0.0	0.143	2.775	2.756	5.345	
45.0	0.0	0.143	2.738	3.085	5.27	
46.0	0.0	0.143	2.8	3.116	5.159	
47.0	0.0	0.143	2.731	3.085	5.407	
48.0	0.0	0.137	2.818	2.825	5.773	
49.0	0.0	0.137	2.651	2.936	5.413	
50.0	0.0	0.137	2.614	3.06	5.407	
51.0	0.0	0.143	2.713	2.986	5.19	
52.0	0.0	0.143	2.427	2.818	5.457	
53.0	0.0	0.143	2.738	2.831	5.239	
54.0	0.0	0.143	2.359	2.98	5.494	
55.0	0.0	0.143	2.756	2.806	5.668	
56.0	0.0	0.137	2.818	3.06	5.531	
57.0	0.0	0.143	2.781	2.688	5.357	
58.0	0.0	0.143	2.719	2.955	5.413	
59.0	0.0	0.137	2.502	2.831	5.252	
60.0	0.0	0.137	2.7	2.825	5.401	
